 ,2019,2020,2021,2022,2023,Сайт
Бокситогорский муниципальный район,49256,48625,48048,47236,50977,
Бокситогорское ГП,15370,15200,15088,14606,15960,
Пикалевское ГП,19981,19746,19490,19250,20169,
Ефимовское ГП,3434,4597,4434,4389,5369,
Большедворское СП,1575,1528,1505,1486,1698,
Борское СП,3312,3279,3301,3272,3393,
Лидское СП,2253,2187,2145,2137,2234,
Самойловское СП,2069,2088,2085,2096,2154,
Волосовский муниципальный район,51668,51778,51587,51600,50211,
Волосовское гп,11985,11897,11688,11490,11767,
Бегуницкое сп,8407,8455,8422,8437,7539,
Рабитицкое сп,5090,5069,5093,5125,5230,
Большеврудское сп,9679,9715,9672,9757,9323,
Калитинское сп,6361,6413,6459,6478,6194,
Клопицкое сп,8333,8443,8490,8543,8482,
Сабское сп,1813,1786,1763,1770,1676,
Волховский муниципальный район,89070,88198,87167,85927,79417,
Волховское ГП,44487,44256,43969,43309,37955,
Новоладожское ГП,8098,8027,7875,7750,7284,
Сясьстройское гп,13156,13003,12799,12644,13062,
Вындиноостровское сп,1641,1614,1578,1577,1575,
Иссадское сп,1909,1866,1842,1829,1427,
Колчановское сп,2744,2629,2547,2467,2709,
Пашское сп,4701,4624,4544,4440,4560,
Потанинское сп,1176,1159,1130,1139,1103,
Бережковское сп,1591,1567,1579,1552,1170,
Селивановское сп,1038,1004,977,959,987,
Староладожское сп,2436,2421,2369,2355,2443,
Усадищенское сп,1775,1754,1732,1720,1615,
Хваловское сп,1267,1234,1213,1195,1043,
Кисельнинское сп,2354,2355,2350,2329,1829,
Свирицкое сп,697,685,663,662,655,
Всеволожский муниципальный район,398896,438607,473514,506289,554288,
Всеволожское гп,74524,74964,75964,76974,79548,
Сертоловское гп,54956,57078,59256,61716,71393,
Муринское гп,49664,65885,79125,90571,104911,
Дубровское гп,7787,7851,7945,8115,8420,
Заневское гп,43121,55550,66264,74137,87440,
Кузьмоловское гп,10815,10915,10965,11054,13532,
Морозовское гп,10782,10797,10768,10633,10682,
Рахьинское гп,7999,8013,8055,8065,8910,
Свердловское гп,12521,12954,13365,13629,14260,
Токсовское гп,7524,7415,7096,6545,8053,
Бугровское сп,16389,20642,24896,31127,32050,
Агалатовское сп,10430,11209,12048,13620,12964,
Колтушское сп,29017,29661,29997,30070,28766,
Куйвозовское сп,14296,14318,14335,14469,15726,
Лесколовское сп,10539,10740,10829,11028,9884,
Романовское,9610,9721,9846,9948,10084,
Щегловское сп,4780,5332,5762,6201,7288,
Юкковское сп,4539,4922,5215,5688,5388,
Новодевяткинское сп,19603,20640,21783,22699,24989,
Выборгский муниципальный район,199571,198226,195728,193863,195374,
Выборгское гп,76389,75355,74054,73001,71772,
Высоцкое гп,1094,1089,1074,1069,1122,
Каменногорское гп,12082,11848,11606,11351,13848,
Приморское гп,13570,13513,13299,13011,13644,
Светогорское гп,19591,19413,19091,18776,17463,
Рощинское гп,20857,20989,20820,20937,22155,
Советское гп,9205,9137,8938,8809,9718,
Красносельское сп,5384,5339,5270,5255,6584,
Первомайское сп,9653,9934,10004,10207,9935,
Полянское сп,15528,15622,15842,15969,14766,
Селезневское сп,6639,6554,6427,6311,5798,
Гончаровское сп,9579,9433,9303,9167,8569,
Гатчинский муниципальный район,243156,238034,232752,230324,261898,
Гатчинское ГП,93710,91685,89311,87626,92684,
Коммунарское ГП,22522,22221,21920,22052,25764,
Вырицкое ГП,14893,14521,14163,14030,18066,
Дружногорское ГП,6003,5841,5696,5635,5827,
Сиверское ГП,19304,18842,18441,18210,17275,
Таицкое ГП,6794,6568,6419,6395,9328,
Пудомягское СП,6432,6203,6072,6139,8190,
Большеколпанское СП,9728,9612,9484,9434,8936,
Веревское СП,7215,7036,6927,6950,9713,
Войсковицкое СП,6568,6435,6284,6217,6725,
Елизаветинское СП,5842,5721,5622,5625,6410,
Кобринское СП,6159,6018,5848,5776,6126,
Новосветское СП,8251,8132,7982,7912,9767,
Пудостьское СП,10325,10233,10103,10086,12718,
Рождественское СП,5844,5743,5594,5472,6935,
Сусанинское СП,8255,8029,7776,7687,10012,
Сяськелевское СП,5311,5194,5110,5078,7422,
Кингисеппский муниципальный район,76182,74881,73714,72512,83838,
Кингисеппское ГП,45858,45216,44612,43875,49186,
Ивангородское ГП,9827,9497,9329,9120,9684,
Большелуцкое СП,3914,3717,3494,3471,6706,
Фалилеевское СП,1089,1067,1067,1037,1317,
Котельское СП,3492,3458,3395,3368,3414,
Усть-Лужское СП,3036,3075,3085,2994,2529,
Куземкинское СП,1375,1353,1330,1336,1168,
Нежновское СП,877,867,844,847,1291,
Опольевское СП,2745,2717,2681,2651,3328,
Пустомержское СП,2239,2191,2177,2125,3965,
Вистинское СП,1730,1723,1700,1688,1250,
Киришский муниципальный район,62069,61474,60777,60003,59877,
Киришское ГП,50750,50525,50079,49609,50346,
Будогощское ГП,4691,4538,4404,4237,2980,
Глажевское СП,2810,2702,2623,2561,2882,
Кусинское СП,1079,1063,1071,1058,904,
Пчевжинское СП,1242,1197,1161,1119,1415,
Пчевское СП,1497,1449,1439,1419,1350,
Кировский муниципальный район,105936,106016,106077,104710,108460,
Кировское ГП,27701,27889,28384,28187,28128,
Шлиссельбургское ГП,14845,14920,14851,14643,13918,
Отрадненское ГП,25623,25796,26030,25878,25402,
Мгинское ГП,12331,12325,12008,11693,13063,
Назиевское ГП,4983,4952,4874,4669,6704,
Павловское ГП,3691,3725,3674,3572,3754,
Приладожское ГП,5917,5887,5821,5814,5952,
Синявинское ГП,4187,3982,4005,3985,4283,
Путиловское СП,2363,2359,2353,2308,2763,
Суховское СП,1359,1350,1339,1313,1536,
Шумское СП,2936,2831,2738,2648,2957,
Лодейнопольский муниципальный район,28530,28032,27651,27365,27548,
Лодейнопольское ГП,19963,19677,19452,19226,19208,
Свирьстройское ГП,876,843,851,858,922,
Алеховщинское СП,3797,3727,3686,3692,3834,
Доможировское СП,2061,2004,1944,1892,2185,
Янегское СП,1833,1781,1718,1697,1399,
Ломоносовский муниципальный район,73475,76786,78421,81817,85329,
Большеижорское ГП,2767,2746,2747,2766,2484,
Аннинское ГП,10379,11679,12446,13565,16832,
Виллозское ГП,8283,9283,10298,11810,11212,
Лебяженское ГП,5274,5239,5155,5213,6232,
Низинское СП,4492,4743,4851,4984,4849,
Пениковское СП,2999,3125,3149,3247,3006,
Гостилицкое СП,4214,4480,4642,4867,4879,
Горбунковское СП,8951,9081,8825,8756,8528,
Кипенское СП,5092,5158,5131,5169,5972,
Копорское СП,2355,2335,2342,2362,2378,
Лаголовское СП,3638,3649,3684,3724,3456,
Лопухинское СП,2912,2897,2876,2878,2958,
Оржицкое СП,3088,3133,3079,3091,3220,
Ропшинское СП,3571,3806,3852,4083,4040,
Русско-Высоцкое СП,5460,5432,5344,5302,5283,
Лужский муниципальный район,72035,70787,69153,67523,75307,
Лужское ГП,35526,35133,34210,33295,38127,https://luga.ru/poselenia/luga_gorod 
Толмачевское ГП,3995,3879,3838,3741,5406,gptolmachevo.ru
Володарское сп,1523,1463,1419,1378,1602,володарское.рф
Волошовское сп,1298,1258,1239,1215,1309,
Дзержинское сп,3246,3236,3225,3185,2891,
Заклинское сп,4727,4566,4473,4429,4827,zaklinye.ru
Мшинское сп,3379,3361,3332,3330,3737,мшинское.рф
Оредежское сп,4501,4446,4294,4170,4422,oradm.ru
Осьминское сп,2831,2711,2619,2495,2619,осьмино.рф
Ям-Тесовское сп,3068,3006,2919,2814,2849,
Серебрянское сп,1769,1691,1636,1580,1643,серебрянское.рф
Скребловское сп,3036,2988,2976,2958,2827,скреблово.рф
Торковичское сп,1226,1190,1152,1130,1260,torkovichiadm.ru
Ретюнское сп,1910,1859,1821,1803,1788,ретюнское-сп.рф
Подпорожский муниципальный район,28263,27689,27103,26547,25508,
Подпорожское ГП ,17252,16978,16751,16448,16133,
Важинское ГП,2637,2523,2412,2335,2660,
Вознесенское ГП,2723,2674,2578,2530,2668,
Никольское ГП,2813,2779,2733,2683,2506,
Винницкое СП,2838,2735,2629,2551,1541,
Приозерский муниципальный район,61028,60351,59903,59496,57047,
Приозерское ГП,18431,18022,17905,17777,18821,
Кузнечнинское ГП,4130,4126,4002,3875,3916,
Севастьяновское СП,739,728,704,653,724,
Раздольевское СП,1701,1665,1687,1710,1557,
Громовское СП,2424,2408,2372,2341,2195,
Запорожское СП,2791,2793,2805,2795,2799,
Красноозерное СП,1136,1099,1100,1105,1027,
Ларионовское СП,2743,2681,2635,2578,2625,
Мельниковское СП,2044,2024,2001,1977,2280,
Мичуринское СП,1808,1787,1758,1718,1788,
Ромашкинское СП ,7258,7200,7183,7129,6564,
Плодовское СП ,2723,2677,2660,2606,2720,
Петровское СП,1787,1795,1772,1799,1934,
Сосновское СП,11313,11346,11319,11433,8097,
Сланцевский муниципальный район,42494,42296,42030,41931,45192,
Сланцевское ГП,33232,33073,32888,32833,35258,
Выскатское СП,2091,2126,2090,2098,2331,
Загривское СП,1062,1065,1076,1042,1006,
Новосельское СП,1671,1640,1672,1712,1873,
Гостицкое СП,1573,1558,1529,1508,1525,
Старопольское СП,2196,2170,2144,2128,2456,
Черновское СП,669,664,631,610,743,
Тихвинский муниципальный район,69567,69457,68475,67768,66266,
Тихвинское ГП,59993,60014,59215,58596,56597,
Мелегежское СП,972,973,961,938,990,
Борское СП,1561,1524,1538,1530,1522,
Ганьковское СП,1018,995,995,1015,988,
Горское СП,989,967,941,920,997,
Цвылевское СП,1565,1561,1537,1528,1695,
Пашозерское СП,479,469,455,453,463,
Коськовское СП,635,622,612,585,612,
Шугозерское СП,2355,2332,2221,2203,2402,
Тосненский муниципальный район,128327,126915,123557,120734,133109,
Тосненское ГП,42479,41946,40632,39224,36726,
Любанское ГП,9751,9650,9405,9212,8833,
Никольское ГП,23258,23112,22689,22416,22949,
Красноборское ГП,5145,5006,4825,4657,4507,
Рябовское ГП,3215,3174,3096,3013,3060,
Ульяновское ГП,12385,12213,11879,11586,11490,
Федоровское ГП,4460,4536,4450,4562,6083,
Форносовское ГП,6459,6411,6355,6275,4979,
Нурминское СП,3127,3090,3018,2977,3354,
Лисинское СП,1984,1856,1789,1703,1919,
Тельмановское СП,13958,13850,13418,13191,27029,
Трубникоборское СП,1603,1583,1541,1479,1620,
Шапкинское СП,503,488,460,439,560,
Сосновоборский  городской округ с внутригородским делением,68344,67720,67054,65941,64121,